Name,Age,Occupation,Salary,Car Model,Home State,Location,Children
Jack,55,Accountant,305589,TRAVERSE C1YC2,Texas,"(37.7749, -122.4194)",5
Frank,41,Chef,64519,CAMARO A1AC CONV,Texas,"(41.8781, -87.6298)",9
Helen,27,Driver,345406,SILVERADO T1ECH HD DBL,Illinois,"(39.7392, -104.9903)",4
Ivy,51,Diesil-Mechanic,381710,EQUINOX EV C223,Hawaii,"(40.7128, -74.0060)",2
Garrett,21,Designer,278300,SIERRA T1EGH HD DBL,Michigan,"(29.7604, -95.3698)",5
David,45,Data-Scientist,205017,XT6 C1TL,New-York,"(39.7392, -104.9903)",0
Mattie,23,Engineer,329838,BLAZER C1UC,Texas,"(33.4484, -112.0740)",7
Ivy,30,Driver,342793,SAVANA VAN 610,New-Jersey,"(37.7749, -122.4194)",7
Frank,47,Police-Officer,157660,BOLT EUV C121,Illinois,"(29.7604, -95.3698)",6
Ivy,25,Doctor,165295,SILVERADO EV BT1CC,Maine,"(41.8781, -87.6298)",5
Jack,46,Driver,237044,SILVERADO 4500/5500,New-Jersey,"(29.7604, -95.3698)",5
Charlie,51,Designer,156948,BOLT C110,Michigan,"(34.0522, -118.2437)",2
David,60,Chef,324289,SIERRA T1EGF LD DBL,Alaska,"(39.7392, -104.9903)",8
Charlie,37,Accountant,355903,TAHOE T1UCF,Michigan,"(33.4484, -112.0740)",4
Alice,55,Driver,203817,SILVERADO T1ECF LD DBL,New-York,"(34.0522, -118.2437)",1
Charlie,39,Data-Engineer,326596,YUKON T1UGF,Montana,"(29.7604, -95.3698)",1
Max,29,Nurse,204132,SILVERADO 4500/5500,Texas,"(41.8781, -87.6298)",3
Alice,40,Lieutenant,243120,BOLT C110,Maine,"(47.6062, -122.3321)",6
Eva,60,Teacher,193623,EQUINOX EV C223,Illinois,"(25.7617, -80.1918)",9
Max,54,Diesil-Mechanic,252633,SAVANA VAN 610,New-Mexico,"(37.7749, -122.4194)",7
Levi,32,Lawyer,414150,ACADIA C1UG,Michigan,"(37.7749, -122.4194)",1
Bailie,20,Mechanic,340170,SILVERADO T1ECF LD DBL,Indiana,"(29.7604, -95.3698)",0
Alice,22,Chef,245284,SILVERADO T1CCH HD CREW,Arizona,"(42.3601, -71.0589)",4
Garrett,35,Data-Scientist,67835,TRAX-K G1UC,Wyoming,"(42.3601, -71.0589)",0
David,40,Nurse,61546,ESCALADE T1ULF,Maine,"(34.0522, -118.2437)",8
Jack,24,Lawyer,96138,TRAX 9BQC1,Texas,"(33.4484, -112.0740)",0
Eva,49,Accountant,264226,ENCORE GX 9BUB,New-Hampshire,"(29.7604, -95.3698)",7
Levi,33,Lieutenant,266607,ACADIA C1UG,Washington,"(39.7392, -104.9903)",3
Eva,36,Driver,111787,SILVERADO T1CCH HD CREW,Maine,"(29.7604, -95.3698)",1
Levi,38,Engineer,346276,EQUINOX D2UC,Washington,"(34.0522, -118.2437)",5
Charlie,59,Mechanic,299668,YUKON XL T1YGF,New-Mexico,"(34.0522, -118.2437)",7
Frank,32,Lieutenant,276086,TAHOE T1UCF,New-York,"(33.4484, -112.0740)",4
Bailie,48,Artist,420248,TRAX-K G1UC,Montana,"(37.7749, -122.4194)",6
Mattie,26,Diesil-Mechanic,433708,TRAILBLAZER 9BYC,Oregon,"(34.0522, -118.2437)",2
Jack,40,Teacher,66831,CT5 A2LL,Alaska,"(34.0522, -118.2437)",2
Levi,27,Chef,434914,COLORADO 31XCN,New-Hampshire,"(39.7392, -104.9903)",6
Levi,28,Accountant,419850,HUM BEV BT1UG,Indiana,"(33.4484, -112.0740)",9
Bailie,30,Software-Developer,249831,CAMARO A1AC CONV,Texas,"(47.6062, -122.3321)",9
Charlie,50,Engineer,434027,BOLT EUV C121,Massachusetts,"(42.3601, -71.0589)",0
Jack,55,Teacher,420406,CANYON 31CG2,Oregon,"(25.7617, -80.1918)",0
Bob,41,Mechanic,133438,MALIBU E2SC,New-Jersey,"(47.6062, -122.3321)",8
Alice,46,Chef,99594,SILVERADO T1RCF LD REG,Alaska,"(25.7617, -80.1918)",5
Bailie,34,Diesil-Mechanic,391403,COLORADO 31CC2,Illinois,"(39.7392, -104.9903)",4
Bob,59,Chef,135785,XT4 E2UL,Texas,"(42.3601, -71.0589)",6
Alice,37,Designer,358745,ESCALADE ESV T1YLF,Massachusetts,"(33.4484, -112.0740)",4
Levi,35,Police-Officer,307252,AV A110,Washington,"(41.8781, -87.6298)",7
Bob,31,Data-Scientist,365793,SILVERADO T1ECH HD DBL,Alaska,"(41.8781, -87.6298)",0
Mattie,25,Accountant,168675,CT5 A2LL,New-Jersey,"(37.7749, -122.4194)",3
David,47,Designer,302091,TRAILBLAZER 9BYC,Wyoming,"(47.6062, -122.3321)",0
David,43,Chef,431345,CANYON 31CG2,Illinois,"(39.7392, -104.9903)",2
Mattie,46,Lieutenant,333151,AV A110,Indiana,"(25.7617, -80.1918)",3
David,38,Data-Scientist,337346,XT5 C1UL,Washington,"(47.6062, -122.3321)",6
Jack,22,Lieutenant,94397,CAMARO A1AC CONV,Michigan,"(25.7617, -80.1918)",3
David,35,Artist,164590,YUKON T1UGF,New-Mexico,"(33.4484, -112.0740)",2
Eva,26,Mechanic,144194,XT4 E2UL,Wyoming,"(33.4484, -112.0740)",5
Levi,42,Teacher,132467,CANYON 31CG2,Alaska,"(34.0522, -118.2437)",1
Frank,34,Mechanic,167767,EQUINOX EV C223,Oregon,"(34.0522, -118.2437)",1
Alice,22,Artist,434804,CT5 A2LL,Texas,"(40.7128, -74.0060)",1
Charlie,22,Data-Scientist,67614,BLAZER C1UC,Maine,"(34.0522, -118.2437)",6
Bob,59,Doctor,146729,TRAX-K G1UC,Indiana,"(33.4484, -112.0740)",0
Levi,31,Driver,392039,ESCALADE ESV T1YLF,Oregon,"(37.7749, -122.4194)",3
Jack,57,Teacher,334442,SIERRA T1EGH HD DBL,Hawaii,"(47.6062, -122.3321)",2
Alice,39,Mechanic,124222,ENCLAVE C1YB,Hawaii,"(39.7392, -104.9903)",0
Mattie,56,Accountant,221001,TRAILBLAZER 9BYC,Washington,"(40.7128, -74.0060)",6
Jack,60,Police-Officer,45415,TRAVERSE C1YC2,Michigan,"(47.6062, -122.3321)",0
Helen,22,Engineer,281787,MALIBU E2SC,Texas,"(40.7128, -74.0060)",3
Bob,55,Driver,377384,EXPRESS VAN 610,Indiana,"(40.7128, -74.0060)",6
Alice,33,Artist,202219,SIERRA T1RGH HD REG,New-Jersey,"(25.7617, -80.1918)",0
Bob,52,Artist,311343,CAMARO A1AC CONV,Montana,"(47.6062, -122.3321)",1
Ivy,37,Artist,80639,SILVERADO T1CCF LD CREW,Michigan,"(40.7128, -74.0060)",8
Garrett,26,Lieutenant,434888,CELESTIQ L246,Oregon,"(42.3601, -71.0589)",1
Bob,48,Diesil-Mechanic,138612,SPARK M2JC,Oregon,"(33.4484, -112.0740)",8
Max,32,Data-Engineer,315277,SIERRA T1RGH HD REG,Hawaii,"(29.7604, -95.3698)",3
Charlie,23,Lieutenant,311324,YUKON XL T1YGF,Indiana,"(40.7128, -74.0060)",5
Ivy,54,Software-Developer,157751,ENVISION E2UB,Montana,"(39.7392, -104.9903)",5
Charlie,42,Teacher,145905,XT6 C1TL,Michigan,"(33.4484, -112.0740)",8
Ivy,58,Police-Officer,90587,ACADIA C1UG,Montana,"(33.4484, -112.0740)",6
Bob,44,Nurse,63891,TRAVERSE C1YC2,Oregon,"(37.7749, -122.4194)",9
Helen,27,Accountant,67987,ENVISION E2UB,New-Jersey,"(39.7392, -104.9903)",1
Bob,27,Lawyer,164465,ENVISION E2UB,Montana,"(29.7604, -95.3698)",7
Levi,22,Artist,146714,ESCALADE T1ULF,Hawaii,"(29.7604, -95.3698)",4
Grace,55,Software-Developer,273482,MALIBU E2SC,Alaska,"(25.7617, -80.1918)",1
David,20,Chef,397919,XT6 C1TL,Texas,"(39.7392, -104.9903)",1
Max,58,Engineer,419407,LYRIQ L233,Hawaii,"(34.0522, -118.2437)",8
Helen,46,Software-Developer,215777,ESCALADE ESV T1YLF,New-Hampshire,"(40.7128, -74.0060)",2
Frank,49,Police-Officer,333149,EQUINOX D2UC,Illinois,"(39.7392, -104.9903)",9
Jack,45,Engineer,437138,LYRIQ L233,Alaska,"(34.0522, -118.2437)",5
Grace,45,Doctor,441886,ENCORE GX 9BUB,Michigan,"(41.8781, -87.6298)",5
Eva,24,Lieutenant,237046,CORVETTE Y200,Washington,"(41.8781, -87.6298)",4
Bailie,55,Lawyer,348998,XT4 E2UL,New-Mexico,"(34.0522, -118.2437)",8
Ivy,55,Nurse,380677,EXPRESS VAN 610,Montana,"(37.7749, -122.4194)",7
Eva,35,Teacher,33928,XT4 E2UL,Oregon,"(47.6062, -122.3321)",6
Grace,23,Lieutenant,224249,EQUINOX D2UC,Maine,"(40.7128, -74.0060)",7
Jack,24,Nurse,135816,SUBURBAN T1YCF,Massachusetts,"(39.7392, -104.9903)",0
David,31,Chef,250308,CT4 A2SL,New-Mexico,"(42.3601, -71.0589)",9
Eva,51,Doctor,346353,TRAVERSE C1YC2,New-Jersey,"(33.4484, -112.0740)",3
Ivy,56,Chef,219385,BOLT C110,Michigan,"(40.7128, -74.0060)",4
Bob,25,Mechanic,339390,SILVERADO T1RCH HD REG,New-Jersey,"(33.4484, -112.0740)",7
Jack,35,Accountant,309185,BOLT C110,Alaska,"(37.7749, -122.4194)",6
Helen,40,Data-Engineer,170323,CAMARO A1AC CONV,Washington,"(34.0522, -118.2437)",5
Grace,28,Designer,215174,ESCALADE ESV T1YLF,Maine,"(25.7617, -80.1918)",8
Mattie,60,Lawyer,240049,LCF GAS-US I-700N,Michigan,"(34.0522, -118.2437)",6
Eva,32,Teacher,182206,YUKON XL T1YGF,Maine,"(39.7392, -104.9903)",5
Garrett,50,Designer,345354,ESCALADE ESV T1YLF,New-Hampshire,"(37.7749, -122.4194)",8
Charlie,28,Data-Scientist,231859,YUKON XL T1YGF,New-Jersey,"(33.4484, -112.0740)",1
Charlie,47,Teacher,387764,BOLT C110,Indiana,"(41.8781, -87.6298)",5
Max,57,Artist,183714,EQUINOX D2UC,Illinois,"(37.7749, -122.4194)",7
Frank,22,Artist,228881,SIERRA T1RGF LD REG,Hawaii,"(42.3601, -71.0589)",4
Ivy,37,Engineer,315153,SIERRA T1CGH HD CREW,Arizona,"(47.6062, -122.3321)",8
Max,47,Chef,91732,BLAZER C1UC,Oregon,"(42.3601, -71.0589)",6
Helen,52,Engineer,379580,CAMARO A1BC COUPE,Washington,"(37.7749, -122.4194)",7
Bob,48,Lieutenant,243116,CAMARO A1BC COUPE,Arizona,"(29.7604, -95.3698)",5
Jack,27,Nurse,377632,SILVERADO T1ECH HD DBL,Indiana,"(41.8781, -87.6298)",9
David,35,Diesil-Mechanic,438806,TRAVERSE C1YC2,Arizona,"(34.0522, -118.2437)",7
Levi,34,Chef,150944,TRAVERSE C1YC2,Texas,"(40.7128, -74.0060)",2
Jack,34,Chef,279303,CANYON 31CG2,Hawaii,"(33.4484, -112.0740)",5
Ivy,37,Data-Scientist,119777,LCF DSL-JP I-700N,Montana,"(42.3601, -71.0589)",5
Bob,52,Driver,220469,MALIBU E2SC,Arizona,"(40.7128, -74.0060)",9
Levi,22,Nurse,398635,CAMARO A1AC CONV,Wyoming,"(37.7749, -122.4194)",5
Max,35,Accountant,32663,TRAILBLAZER 9BYC,Arizona,"(34.0522, -118.2437)",4
Jack,55,Doctor,414470,CANYON 31CG2,New-Jersey,"(47.6062, -122.3321)",4
Grace,50,Mechanic,244652,SAVANA VAN 610,New-Hampshire,"(25.7617, -80.1918)",2
Bailie,40,Designer,440648,CT5 A2LL,Maine,"(42.3601, -71.0589)",6
David,57,Lieutenant,122647,SILVERADO T1CCH HD CREW,New-Hampshire,"(29.7604, -95.3698)",3
Mattie,42,Artist,43533,CANYON 31CG2,Texas,"(47.6062, -122.3321)",1
Levi,35,Lawyer,445909,SPARK M2JC,New-Jersey,"(41.8781, -87.6298)",8
Eva,32,Mechanic,224639,XT6 C1TL,Oregon,"(34.0522, -118.2437)",3
Frank,22,Doctor,103461,CT5 A2LL,Michigan,"(29.7604, -95.3698)",7
Ivy,41,Teacher,389329,TRAILBLAZER 9BYC,Wyoming,"(25.7617, -80.1918)",4
Eva,28,Teacher,319653,BLAZER C1UC,Montana,"(39.7392, -104.9903)",0
Bob,41,Data-Scientist,424588,ENVISION E2UB,New-Hampshire,"(25.7617, -80.1918)",4
Jack,59,Data-Scientist,421421,CORVETTE Y200,Hawaii,"(41.8781, -87.6298)",0
Jack,52,Mechanic,294602,XT4 E2UL,Texas,"(37.7749, -122.4194)",5
Levi,48,Software-Developer,66290,COLORADO 31XCN,Washington,"(41.8781, -87.6298)",7
Helen,52,Accountant,229543,CANYON 31CG2,Montana,"(37.7749, -122.4194)",9
Helen,50,Mechanic,323303,LCF GAS-US I-700N,Arizona,"(25.7617, -80.1918)",3
Garrett,34,Accountant,224630,ESCALADE ESV T1YLF,Indiana,"(47.6062, -122.3321)",7
Ivy,43,Lieutenant,90027,PICKUP-E BEV BT1FG,New-Mexico,"(34.0522, -118.2437)",9
Max,26,Artist,50874,SILVERADO 4500/5500,Alaska,"(34.0522, -118.2437)",4
Bailie,52,Artist,86565,SILVERADO T1CCF LD CREW,Massachusetts,"(29.7604, -95.3698)",9
Frank,33,Artist,406920,YUKON T1UGF,New-York,"(47.6062, -122.3321)",6
Bob,33,Chef,194659,XT4 E2UL,Washington,"(41.8781, -87.6298)",8
Bob,54,Data-Scientist,419464,ACADIA C1UG,Hawaii,"(29.7604, -95.3698)",3
Jack,22,Doctor,441021,SUBURBAN T1YCF,Washington,"(40.7128, -74.0060)",7
Garrett,27,Engineer,323273,YUKON XL T1YGF,Wyoming,"(40.7128, -74.0060)",7
Charlie,55,Engineer,328355,ESCALADE ESV T1YLF,Michigan,"(37.7749, -122.4194)",0
David,26,Driver,376613,YUKON T1UGF,New-Hampshire,"(39.7392, -104.9903)",9
David,38,Diesil-Mechanic,154783,ENCORE G1UB,Massachusetts,"(41.8781, -87.6298)",8
Grace,33,Police-Officer,119165,SIERRA T1EGH HD DBL,Maine,"(37.7749, -122.4194)",7
Jack,49,Teacher,153273,PICKUP-E BEV BT1FG,Washington,"(41.8781, -87.6298)",3
Bob,27,Data-Scientist,82702,TRAX 9BQC1,New-Mexico,"(34.0522, -118.2437)",5
Alice,21,Designer,117847,CELESTIQ L246,Massachusetts,"(33.4484, -112.0740)",2
Eva,24,Lawyer,242450,ENCLAVE C1YB,Maine,"(25.7617, -80.1918)",8
Levi,37,Engineer,187642,SILVERADO T1CCF LD CREW,Oregon,"(29.7604, -95.3698)",9
Charlie,37,Driver,198636,SILVERADO 4500/5500,Illinois,"(47.6062, -122.3321)",7
Helen,54,Lieutenant,68377,AV A110,Wyoming,"(37.7749, -122.4194)",3
Helen,20,Teacher,104077,EQUINOX D2UC,Illinois,"(29.7604, -95.3698)",1
Max,50,Driver,208121,SILVERADO T1ECF LD DBL,Hawaii,"(34.0522, -118.2437)",2
David,46,Diesil-Mechanic,131556,TRAILBLAZER 9BYC,Washington,"(39.7392, -104.9903)",0
Bob,43,Data-Engineer,358989,CT5 A2LL,New-York,"(39.7392, -104.9903)",5
Max,51,Mechanic,253764,SIERRA T1EGF LD DBL,Texas,"(29.7604, -95.3698)",8
Grace,49,Software-Developer,101935,ESCALADE T1ULF,Illinois,"(47.6062, -122.3321)",7
Frank,24,Lawyer,69724,YUKON XL T1YGF,Arizona,"(25.7617, -80.1918)",0
Levi,34,Data-Engineer,358297,SILVERADO T1RCH HD REG,Wyoming,"(39.7392, -104.9903)",3
Grace,45,Chef,67985,TRAILBLAZER 9BYC,New-Mexico,"(40.7128, -74.0060)",6
Grace,53,Software-Developer,139404,TRAX 9BQC1,New-York,"(29.7604, -95.3698)",1
Eva,37,Lawyer,307437,ESCALADE ESV T1YLF,Hawaii,"(37.7749, -122.4194)",2
Ivy,42,Lawyer,146408,XT6 C1TL,Hawaii,"(40.7128, -74.0060)",8
Grace,41,Police-Officer,334180,MALIBU E2SC,New-Jersey,"(29.7604, -95.3698)",2
David,52,Teacher,145932,YUKON T1UGF,New-York,"(40.7128, -74.0060)",8
Helen,44,Nurse,145263,BOLT C110,Illinois,"(25.7617, -80.1918)",1
Frank,31,Driver,180396,ENCORE GX 9BUB,Wyoming,"(42.3601, -71.0589)",7
Helen,58,Data-Scientist,368536,TRAVERSE C1YC2,Hawaii,"(47.6062, -122.3321)",5
Bailie,33,Accountant,140890,LYRIQ L233,Montana,"(39.7392, -104.9903)",4
Frank,43,Police-Officer,309154,BLAZER EV C234,Oregon,"(41.8781, -87.6298)",8
Charlie,49,Doctor,267502,SIERRA T1EGF LD DBL,Hawaii,"(42.3601, -71.0589)",0
Ivy,23,Diesil-Mechanic,296150,YUKON T1UGF,Arizona,"(39.7392, -104.9903)",9
Helen,42,Diesil-Mechanic,411197,ENCORE G1UB,Illinois,"(39.7392, -104.9903)",7
Bailie,45,Lieutenant,265716,CANYON 31XGN,Hawaii,"(40.7128, -74.0060)",3
Levi,47,Nurse,40017,COLORADO 31CC2,Hawaii,"(25.7617, -80.1918)",0
David,25,Lawyer,249490,XT6 C1TL,Michigan,"(47.6062, -122.3321)",9
Jack,20,Software-Developer,439326,ESCALADE T1ULF,Indiana,"(39.7392, -104.9903)",4
Helen,47,Mechanic,154428,CANYON 31XGN,Hawaii,"(40.7128, -74.0060)",8
Jack,49,Lieutenant,232126,TRAVERSE C1YC,Oregon,"(29.7604, -95.3698)",1
Frank,38,Teacher,53452,ENVISTA 9BQB1,New-York,"(37.7749, -122.4194)",8
Jack,55,Data-Engineer,134254,SILVERADO T1RCH HD REG,Arizona,"(39.7392, -104.9903)",4
Mattie,51,Driver,413440,SILVERADO T1CCF LD CREW,Arizona,"(47.6062, -122.3321)",7
Bailie,39,Teacher,436207,AV A110,Washington,"(29.7604, -95.3698)",8
Jack,35,Nurse,350929,ESCALADE ESV T1YLF,Wyoming,"(40.7128, -74.0060)",1
Max,50,Doctor,242905,ENVISTA 9BQB1,Massachusetts,"(47.6062, -122.3321)",4
Jack,22,Lawyer,100916,CORVETTE Y200,Alaska,"(42.3601, -71.0589)",0
Mattie,44,Engineer,158545,SIERRA T1EGH HD DBL,Alaska,"(33.4484, -112.0740)",9
Frank,52,Police-Officer,106143,SAVANA VAN 610,Wyoming,"(39.7392, -104.9903)",6
Mattie,35,Accountant,64506,SILVERADO 4500/5500,New-Jersey,"(29.7604, -95.3698)",9
Bob,54,Artist,251827,PICKUP-E BEV BT1FG,Montana,"(41.8781, -87.6298)",1
Frank,49,Software-Developer,225972,COLORADO 31XCN,Montana,"(29.7604, -95.3698)",0
Ivy,49,Nurse,379819,HUM BEV BT1UG,Indiana,"(42.3601, -71.0589)",0
Alice,40,Engineer,178035,HUM BEV BT1UG,Alaska,"(40.7128, -74.0060)",6
Helen,34,Chef,166110,TRAVERSE C1YC,Indiana,"(41.8781, -87.6298)",6
Helen,34,Teacher,256698,LYRIQ L233,Oregon,"(42.3601, -71.0589)",7
Bob,20,Teacher,368684,SIERRA T1CGF LD CREW,Massachusetts,"(29.7604, -95.3698)",0
Charlie,57,Engineer,327781,SILVERADO T1CCH HD CREW,New-Jersey,"(25.7617, -80.1918)",4
Eva,55,Data-Engineer,288885,SILVERADO 4500/5500,New-Hampshire,"(33.4484, -112.0740)",6
Garrett,27,Artist,39164,SILVERADO 4500/5500,Montana,"(25.7617, -80.1918)",7
Eva,41,Lawyer,169979,CAMARO A1BC COUPE,Maine,"(25.7617, -80.1918)",7
Frank,37,Designer,35840,AV A110,Michigan,"(33.4484, -112.0740)",2
Garrett,39,Lieutenant,133781,ESCALADE ESV T1YLF,Indiana,"(29.7604, -95.3698)",6
Jack,57,Teacher,331545,LCF GAS-US I-700N,New-Jersey,"(42.3601, -71.0589)",8
Alice,22,Lawyer,437772,BLAZER EV C234,Indiana,"(34.0522, -118.2437)",7
Levi,56,Data-Scientist,400358,LYRIQ L233,Michigan,"(40.7128, -74.0060)",5
Eva,37,Police-Officer,337185,SIERRA T1RGH HD REG,Alaska,"(39.7392, -104.9903)",8
Charlie,57,Police-Officer,341181,BOLT C110,New-Mexico,"(40.7128, -74.0060)",0
Grace,55,Artist,244480,SIERRA T1EGH HD DBL,New-Hampshire,"(40.7128, -74.0060)",9
Mattie,55,Data-Engineer,37317,SUBURBAN T1YCF,Indiana,"(41.8781, -87.6298)",9
Frank,23,Driver,140897,SIERRA T1RGH HD REG,Massachusetts,"(33.4484, -112.0740)",7
Grace,37,Driver,344074,EQUINOX D2UC,Alaska,"(41.8781, -87.6298)",2
Bob,57,Designer,37903,LYRIQ L233,Wyoming,"(47.6062, -122.3321)",5
Max,30,Designer,417819,CT4 A2SL,Michigan,"(40.7128, -74.0060)",9
Jack,31,Lieutenant,221770,ENCORE GX 9BUB,New-Mexico,"(25.7617, -80.1918)",1
Ivy,23,Data-Scientist,234173,BOLT EUV C121,Hawaii,"(40.7128, -74.0060)",8
Grace,34,Mechanic,401896,TRAX-K G1UC,Alaska,"(39.7392, -104.9903)",4
Frank,41,Designer,389828,SIERRA T1RGF LD REG,Maine,"(25.7617, -80.1918)",3
Ivy,29,Accountant,330958,PICKUP-E BEV BT1FG,Michigan,"(47.6062, -122.3321)",6
David,38,Doctor,358663,CAMARO A1BC COUPE,Wyoming,"(34.0522, -118.2437)",8
Bob,22,Data-Scientist,335285,TRAX 9BQC1,Illinois,"(41.8781, -87.6298)",4
Ivy,56,Mechanic,349953,COLORADO 31XCN,Texas,"(41.8781, -87.6298)",9
Bob,26,Lawyer,111922,SILVERADO T1CCF LD CREW,Arizona,"(34.0522, -118.2437)",0
Mattie,52,Diesil-Mechanic,422076,TAHOE T1UCF,Washington,"(34.0522, -118.2437)",9
Bob,57,Diesil-Mechanic,101305,LCF 6500XD I-700N,New-Mexico,"(29.7604, -95.3698)",8
Bailie,52,Doctor,429680,SIERRA T1RGH HD REG,New-Hampshire,"(29.7604, -95.3698)",3
David,56,Data-Engineer,269941,COLORADO 31CC2,Massachusetts,"(29.7604, -95.3698)",3
Charlie,42,Engineer,297855,YUKON XL T1YGF,Illinois,"(47.6062, -122.3321)",7
Eva,22,Teacher,253400,SILVERADO T1RCH HD REG,Massachusetts,"(47.6062, -122.3321)",1
Eva,27,Police-Officer,56596,CAMARO A1BC COUPE,New-Hampshire,"(39.7392, -104.9903)",0
Charlie,38,Police-Officer,235279,SUBURBAN T1YCF,Montana,"(34.0522, -118.2437)",7
Jack,40,Chef,364544,SILVERADO T1RCH HD REG,New-Jersey,"(25.7617, -80.1918)",9
Bailie,42,Diesil-Mechanic,437537,LCF 6500XD I-700N,New-Jersey,"(29.7604, -95.3698)",2
Ivy,59,Artist,146210,XT4 E2UL,Maine,"(42.3601, -71.0589)",4
Charlie,44,Police-Officer,323643,SILVERADO T1CCF LD CREW,Arizona,"(34.0522, -118.2437)",2
Bailie,50,Designer,49106,BOLT C110,Oregon,"(33.4484, -112.0740)",3
David,60,Lieutenant,246988,AV A110,Hawaii,"(33.4484, -112.0740)",0
Alice,23,Data-Scientist,81701,COLORADO 31CC2,Maine,"(42.3601, -71.0589)",6
Eva,20,Doctor,219523,LCF 6500XD I-700N,Massachusetts,"(47.6062, -122.3321)",1
Mattie,49,Police-Officer,222824,TRAX-K G1UC,Oregon,"(33.4484, -112.0740)",0
Bailie,57,Driver,76250,SILVERADO T1RCH HD REG,Alaska,"(39.7392, -104.9903)",1
Bob,29,Doctor,355881,SAVANA VAN 610,New-Jersey,"(37.7749, -122.4194)",9
Bob,38,Data-Scientist,251391,BOLT EUV C121,New-Mexico,"(40.7128, -74.0060)",6
Garrett,26,Nurse,115304,EQUINOX EV C223,Hawaii,"(34.0522, -118.2437)",9
Ivy,29,Nurse,435171,TERRAIN D2UG,Massachusetts,"(41.8781, -87.6298)",9
Eva,45,Data-Engineer,120123,SUBURBAN T1YCF,Oregon,"(34.0522, -118.2437)",0
Eva,28,Artist,337521,SIERRA T1EGH HD DBL,New-Hampshire,"(42.3601, -71.0589)",7
Helen,46,Software-Developer,177807,CT5 A2LL,Texas,"(33.4484, -112.0740)",1
Jack,51,Diesil-Mechanic,179502,SIERRA T1CGH HD CREW,Indiana,"(42.3601, -71.0589)",3
Bailie,47,Diesil-Mechanic,406997,CANYON 31CG2,Massachusetts,"(37.7749, -122.4194)",3
Levi,50,Doctor,277559,LCF 6500XD I-700N,Washington,"(29.7604, -95.3698)",8
Levi,33,Data-Scientist,230575,SPARK M2JC,Oregon,"(41.8781, -87.6298)",2
Eva,60,Mechanic,232739,XT4 E2UL,New-Mexico,"(25.7617, -80.1918)",6
Levi,45,Nurse,115660,ENVISION E2UB,Massachusetts,"(41.8781, -87.6298)",0
Jack,58,Driver,186020,SUBURBAN T1YCF,Washington,"(33.4484, -112.0740)",7
David,20,Artist,35468,TERRAIN D2UG,Wyoming,"(33.4484, -112.0740)",1
Mattie,32,Software-Developer,236874,SPARK M2JC,Alaska,"(34.0522, -118.2437)",1
Ivy,27,Lawyer,33767,ENCORE G1UB,Illinois,"(42.3601, -71.0589)",3
Levi,36,Nurse,447192,HUM BEV BT1UG,Alaska,"(29.7604, -95.3698)",8
Bailie,29,Engineer,419548,BOLT C110,Montana,"(33.4484, -112.0740)",9
Grace,33,Driver,97079,TRAILBLAZER 9BYC,New-Mexico,"(33.4484, -112.0740)",5
Jack,33,Accountant,156511,SIERRA T1CGF LD CREW,Maine,"(29.7604, -95.3698)",7
Bob,39,Diesil-Mechanic,66033,SIERRA T1EGH HD DBL,Montana,"(47.6062, -122.3321)",1
Max,51,Driver,261582,LCF 6500XD I-700N,New-Jersey,"(37.7749, -122.4194)",0
Levi,32,Chef,394757,TRAVERSE C1YC2,New-Hampshire,"(25.7617, -80.1918)",9
Bailie,36,Teacher,360971,CAMARO A1BC COUPE,New-Jersey,"(33.4484, -112.0740)",8
Alice,53,Diesil-Mechanic,151339,CAMARO A1AC CONV,New-York,"(25.7617, -80.1918)",4
Alice,57,Data-Engineer,226674,TAHOE T1UCF,New-Mexico,"(29.7604, -95.3698)",9
David,22,Teacher,281095,BLAZER C1UC,Oregon,"(34.0522, -118.2437)",4
Jack,25,Police-Officer,88452,TRAX-K G1UC,Michigan,"(47.6062, -122.3321)",5
Jack,55,Data-Engineer,387989,SILVERADO T1RCF LD REG,Maine,"(34.0522, -118.2437)",0
Bailie,25,Diesil-Mechanic,413822,XT5 C1UL,New-Hampshire,"(42.3601, -71.0589)",9
Bailie,23,Data-Engineer,227595,SILVERADO T1CCF LD CREW,New-Jersey,"(41.8781, -87.6298)",4
Levi,43,Nurse,355645,TRAILBLAZER 9BYC,New-Jersey,"(33.4484, -112.0740)",7
Max,51,Chef,135520,LCF DSL-JP I-700N,Michigan,"(41.8781, -87.6298)",9
Eva,49,Designer,334914,EQUINOX D2UC,New-York,"(29.7604, -95.3698)",0
Alice,38,Chef,301838,BLAZER C1UC,Hawaii,"(25.7617, -80.1918)",5
Charlie,25,Nurse,122345,YUKON XL T1YGF,Wyoming,"(40.7128, -74.0060)",9
Garrett,38,Data-Scientist,124757,HUM BEV BT1UG,New-York,"(42.3601, -71.0589)",8
Levi,51,Doctor,182607,XT4 E2UL,Wyoming,"(29.7604, -95.3698)",6
Garrett,40,Lieutenant,137513,BLAZER C1UC,Wyoming,"(42.3601, -71.0589)",1
Eva,25,Driver,438328,XT6 C1TL,Texas,"(29.7604, -95.3698)",6
Max,39,Doctor,92986,SILVERADO EV BT1CC,Maine,"(25.7617, -80.1918)",5
Helen,37,Lawyer,240813,CELESTIQ L246,Hawaii,"(41.8781, -87.6298)",5
Jack,21,Engineer,66721,SILVERADO EV BT1CC,Maine,"(37.7749, -122.4194)",2
